Locality,City,Type,Months,Year,Price Range,Min_Price,Max_Price,Average Price,Q-o-Q,QOQ_missing
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,16200-28500,16200,28500,22350,3.5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,16100-28200,16100,28200,22150,3.5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,15800-27900,15800,27900,21850,3.5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,15600-27500,15600,27500,21450,3.5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,15500-27000,15500,27000,21250,3.5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,15762-25952,15762,25952,20857,5,0
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,15500-25700,15500,25700,20600,6,0
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,15000-25200,15000,25200,20100,4,0
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,15379-24302,15379,24302,19840,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,15200-23500,15200,23500,19400,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,15262-23552,15262,23552,19407,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,15000-23000,15000,23000,19000,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,14800-22800,14800,22800,18800,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,14500-22500,14500,22500,18500,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,14200-22200,14200,22200,18100,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,13800-21800,13800,21800,17900,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,13500-21500,13500,21500,17750,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,13200-21200,13200,21200,17600,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,13000-21000,13000,21000,17500,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,12800-20800,12800,20800,17400,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,12500-20500,12500,20500,17300,5,1
Chunabhatti,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,12200-20000,12200,20000,17100,5,1
Colaba,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,30681-48680,30681,48680,39681,10,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,32984-55317,32984,55317,44150,2,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,34450-55836,34450,55836,45143,3,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,33838-54209,33838,54209,44023,5,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,32090-51435,32090,51435,41763,2,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,32916-52547,32916,52547,42732,7,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,31269-48336,31269,48336,39802,4,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,30300-45975,30300,45975,38137,2,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,32098-45381,32098,45381,38740,3,1
Colaba,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,32607-45358,32607,45358,38983,5,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,29766-44756,29766,44756,37261,4,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,27245-44350,27245,44350,35797,10,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,32115-47505,32115,47505,39810,8,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,33494-52961,33494,52961,43227,7,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,31364-49555,31364,49555,40460,7.5,1
Colaba,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,29351-47039,29351,47039,38195,2,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,29542-48800,29542,48800,39171,3,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,29879-50928,29879,50928,40403,2,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,29776-49243,29776,49243,39510,2,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,31028-49283,31028,49283,40155,9,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,32955-55187,32955,55187,44071,7,0
Colaba,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,32070-50191,32070,50191,41130,0.2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,44067-68495,44067,68495,56281,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,43084-67737,43084,67737,55410,3,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,45750-68764,45750,68764,57257,6,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,42853-65578,42853,65578,54216,1,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,42545-67165,42545,67165,54855,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,43011-68909,43011,68909,55960,1,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,42269-68198,42269,68198,55233,0.2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,42714-67478,42714,67478,55096,4,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,44816-70128,44816,70128,57472,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,45170-71978,45170,71978,58574,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,45129-69847,45129,69847,57488,1,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,44711-71226,44711,71226,57968,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,42551-70907,42551,70907,56729,1,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,41384-70597,41384,70597,55990,4,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,42701-73396,42701,73396,58048,0.4,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,41787-73830,41787,73830,57808,7,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,40389-68026,40389,68026,54208,3,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,40252-65045,40252,65045,52648,0.2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,42369-63129,42369,63129,52749,1,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,41894-64434,41894,64434,53164,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,41142-63222,41142,63222,52182,10,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,44139-71683,44139,71683,57911,1,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,45560-71413,45560,71413,58487,2,0
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,45751-73792,45751,73792,59772,1.5,1
Cuffe Parade,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,46399-73170,46399,73170,59784,1,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,43150-66713,43150,66713,54931,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,40619-67599,40619,67599,54109,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,41317-68629,41317,68629,54973,2,1
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,41889-68053,41889,68053,54971,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,41824-65929,41824,65929,53876,4,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,42753-69352,42753,69352,56052,4,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,41230-66844,41230,66844,54037,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,40756-64861,40756,64861,52809,3,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,42400-66187,42400,66187,54294,0.3,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,42154-66134,42154,66134,54144,1,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,42074-64618,42074,64618,53346,0.2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,41676-64769,41676,64769,53223,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,41934-62500,41934,62500,52217,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,42255-64250,42255,64250,53253,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,43752-64853,43752,64853,54303,4,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,40285-63662,40285,63662,51973,0.3,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,38494-65122,38494,65122,51808,3,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,39605-66884,39605,66884,53244,2,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,39121-65304,39121,65304,52212,1,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,41064-64756,41064,64756,52910,12,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,45047-74784,45047,74784,59915,6,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,44096-69057,44096,69057,56577,1,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,44079-67440,44079,67440,55759,1,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,44703-68272,44703,68272,56488,1,0
Cumballa Hill,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,45806-68784,45806,68784,57295,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,30099-49335,30099,49335,39717,3,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,29706-47498,29706,47498,38602,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,29033-47329,29033,47329,38181,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,28638-46593,28638,46593,37615,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,27911-45507,27911,45507,36709,5,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,26555-43371,26555,43371,34963,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,25997-42711,25997,42711,34354,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,25645-42044,25645,42044,33844,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,25029-41069,25029,41069,33049,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,25187-41363,25187,41363,33275,3,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,26395-42251,26395,42251,34323,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,26129-41671,26129,41671,33900,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,25234-41000,25234,41000,33117,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,24684-40522,24684,40522,32603,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,25087-40800,25087,40800,32944,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,25179-40175,25179,40175,32677,3,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,24189-39138,24189,39138,31663,4,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,23342-37633,23342,37633,30487,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,23665-37906,23665,37906,30786,1,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,23872-38307,23872,38307,31090,3,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,24532-39424,24532,39424,31978,3,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,24866-40868,24866,40868,32867,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,24532-39619,24532,39619,32075,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,25070-40595,25070,40595,32833,2,0
Dadar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,24727-39471,24727,39471,32099,0.4,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,28190-46056,28190,46056,37123,3,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,28246-43585,28246,43585,35915,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,26882-43336,26882,43336,35109,0.2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,26794-43280,26794,43280,35037,3,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,25235-42482,25235,42482,33858,4,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,23813-41021,23813,41021,32417,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,23791-39799,23791,39799,31795,1,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,23731-39151,23731,39151,31441,0.5,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,23799-38795,23799,38795,31297,0.4,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,23483-38869,23483,38869,31176,3,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,24183-40351,24183,40351,32267,1,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,24323-39408,24323,39408,31865,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,23524-38656,23524,38656,31090,1.5,1
Dadar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,23406-38717,23406,38717,31061,0.1,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,23872-38180,23872,38180,31026,1,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,23776-38830,23776,38830,31303,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,23334-38057,23334,38057,30696,6,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,22283-35399,22283,35399,28841,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,22829-36197,22829,36197,29513,1,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,22970-36799,22970,36799,29885,5,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,23539-39092,23539,39092,31316,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,23849-40156,23849,40156,32003,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,23925-38933,23925,38933,31429,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,23854-37820,23854,37820,30837,2,0
Dadar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,23471-37084,23471,37084,30278,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,31295-50797,31295,50797,41046,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,30715-50312,30715,50312,40513,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,31095-50736,31095,50736,40915,2,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,30268-49781,30268,49781,40024,4,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,29106-47563,29106,47563,38335,5,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,28242-44852,28242,44852,36547,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,28242-45870,28242,45870,37056,3,1
Dadar West,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,28204-45838,28204,45838,37021,3,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,27375-44717,27375,44717,36046,0.2,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,27514-44448,27514,44448,35981,0.3,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,27786-44371,27786,44371,36079,0.4,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,27498-44350,27498,44350,35924,0.4,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,27166-44426,27166,44426,35796,6,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,25938-41736,25938,41736,33837,3,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,27463-42550,27463,42550,35007,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,27131-42299,27131,42299,34715,3,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,26132-41564,26132,41564,33848,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,25592-41357,25592,41357,33474,2,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,25503-39844,25503,39844,32674,0,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,25443-40169,25443,40169,32806,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,25693-40677,25693,40677,33185,1,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,25988-40771,25988,40771,33380,1,1
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,26015-40747,26015,40747,33381,5,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,27350-42811,27350,42811,35081,2,0
Dadar West,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,27043-41615,27043,41615,34329,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,14767-23633,14767,23633,19200,2,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,14103-23440,14103,23440,18772,9,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,13511-20912,13511,20912,17211,4,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,14165-21720,14165,21720,17942,3,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,14334-22749,14334,22749,18541,2,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,14103-22193,14103,22193,18148,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,14028-22578,14028,22578,18303,4,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,13389-21773,13389,21773,17581,0.2,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,13630-21591,13630,21591,17611,3,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,13594-20528,13594,20528,17061,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,13412-20503,13412,20503,16958,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,13540-20868,13540,20868,17204,3,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,13241-20183,13241,20183,16712,3,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,13106-19327,13106,19327,16216,0.3,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,13177-19364,13177,19364,16271,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,12947-19408,12947,19408,16177,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,12659-19345,12659,19345,16002,2,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,12931-18442,12931,18442,15686,5,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,12826-20086,12826,20086,16456,1,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,13297-19906,13297,19906,16602,4,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,12883-19137,12883,19137,16010,2,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,12240-19058,12240,19058,15649,3,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,12157-18265,12157,18265,15211,2,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,12169-18755,12169,18755,15462,0.4,0
Dahanukar Wadi,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,12101-18945,12101,18945,15523,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,13184-21937,13184,21937,17561,3,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,12852-21377,12852,21377,17115,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,12666-20975,12666,20975,16820,1,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,12608-20736,12608,20736,16672,8,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,11623-19266,11623,19266,15445,1,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,11404-19653,11404,19653,15528,6,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,10998-18327,10998,18327,14663,3.5,1
Dahisar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,10867-18468,10867,18468,14668,0.2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,10920-18463,10920,18463,14691,1,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,10789-18383,10789,18383,14586,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,10560-18031,10560,18031,14295,1,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,10403-17810,10403,17810,14107,0.5,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,10421-17921,10421,17921,14171,3,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,10139-17460,10139,17460,13799,1,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,10208-17234,10208,17234,13721,7,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,9374-16281,9374,16281,12828,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,9520-16609,9520,16609,13064,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,9920-16648,9920,16648,13284,5,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,9433-15933,9433,15933,12683,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,9440-16349,9440,16349,12895,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,9326-16082,9326,16082,12704,3,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,9876-16442,9876,16442,13159,1,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,10171-16525,10171,16525,13348,0.3,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,10135-16634,10135,16634,13385,2,0
Dahisar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,10476-16743,10476,16743,13610,4,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,12078-20307,12078,20307,16193,3,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,11628-19725,11628,19725,15677,4,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,11396-18853,11396,18853,15124,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,11356-18488,11356,18488,14922,6,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,10541-17531,10541,17531,14036,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,10212-17459,10212,17459,13836,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,10273-17178,10273,17178,13726,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,10060-17110,10060,17110,13585,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,10014-16997,10014,16997,13505,0.2,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,10056-16897,10056,16897,13476,4,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,9725-16247,9725,16247,12986,2,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,9594-15872,9594,15872,12733,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,9551-16187,9551,16187,12869,2,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,9416-15811,9416,15811,12614,1,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,9215-15649,9215,15649,12432,5,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,8852-14744,8852,14744,11798,3,1
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,8791-14817,8791,14817,11804,2,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,9071-15079,9071,15079,12075,3,0
Dahisar East,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,8989-14435,8989,14435,11712,0.4,0
